Filename: C:\Program Files\Exelis\ENVI51\classic\data\can_tmr.img
Dims: Full Scene (256,000 points)

Basic Stats	  Min	  Max	     Mean	    Stdev
           	   32	  22964	  92026	  8.9703	 35.9477
           	   33	  13133	 105159	  5.1301	 41.0777
           	   34	  12991	 118150	  5.0746	 46.1523
           	   35	  12747	 130897	  4.9793	 51.1316
           	   36	  13765	 144662	  5.3770	 56.5086
           	   37	  14854	 159516	  5.8023	 62.3109
           	   38	      0	 159516	  0.0000	 62.3109
           	   39	  25877	 185393	 10.1082	 72.4191
           	   40	      0	 185393	  0.0000	 72.4191
           	   41	  19941	 205334	  7.7895	 80.2086
           	   42	      0	 205334	  0.0000	 80.2086
           	   43	  12851	 218185	  5.0199	 85.2285
           	   44	      0	 218185	  0.0000	 85.2285
           	   45	   8899	 227084	  3.4762	 88.7047
           	   46	      0	 227084	  0.0000	 88.7047
           	   47	   6664	 233748	  2.6031	 91.3078
           	   48	      0	 233748	  0.0000	 91.3078
           	   49	   2791	 236539	  1.0902	 92.3980
           	   50	   4761	 241300	  1.8598	 94.2578
           	   51	      0	 241300	  0.0000	 94.2578
           	   52	   3782	 245082	  1.4773	 95.7352
           	   53	      0	 245082	  0.0000	 95.7352
           	   54	   3175	 248257	  1.2402	 96.9754
           	   55	      0	 248257	  0.0000	 96.9754
           	   56	   2565	 250822	  1.0020	 97.9773
           	   57	      0	 250822	  0.0000	 97.9773
           	   58	   1842	 252664	  0.7195	 98.6969
           	   59	      0	 252664	  0.0000	 98.6969
           	   60	   1299	 253963	  0.5074	 99.2043
           	   61	      0	 253963	  0.0000	 99.2043
           	   62	    489	 254452	  0.1910	 99.3953
           	   63	    379	 254831	  0.1480	 99.5434
           	   64	    292	 255123	  0.1141	 99.6574
           	   65	    224	 255347	  0.0875	 99.7449
           	   66	    201	 255548	  0.0785	 99.8234
           	   67	    208	 255756	  0.0813	 99.9047
           	   68	      0	 255756	  0.0000	 99.9047
           	   69	     98	 255854	  0.0383	 99.9430
           	   70	      0	 255854	  0.0000	 99.9430
           	   71	     62	 255916	  0.0242	 99.9672
           	   72	      0	 255916	  0.0000	 99.9672
           	   73	     32	 255948	  0.0125	 99.9797
           	   74	      0	 255948	  0.0000	 99.9797
           	   75	     16	 255964	  0.0063	 99.9859
           	   76	      6	 255970	  0.0023	 99.9883
           	   77	      6	 255976	  0.0023	 99.9906
           	   78	      1	 255977	  0.0004	 99.9910
           	   79	      4	 255981	  0.0016	 99.9926
           	   80	      4	 255985	  0.0016	 99.9941
           	   81	      1	 255986	  0.0004	 99.9945
           	   82	      3	 255989	  0.0012	 99.9957
           	   83	      0	 255989	  0.0000	 99.9957
           	   84	      2	 255991	  0.0008	 99.9965
           	   85	      0	 255991	  0.0000	 99.9965
           	   86	      4	 255995	  0.0016	 99.9980
           	   87	      0	 255995	  0.0000	 99.9980
           	   88	      1	 255996	  0.0004	 99.9984
           	   89	      0	 255996	  0.0000	 99.9984
           	   90	      1	 255997	  0.0004	 99.9988
           	   91	      1	 255998	  0.0004	 99.9992
           	   92	      0	 255998	  0.0000	 99.9992
           	   93	      0	 255998	  0.0000	 99.9992
           	   94	      0	 255998	  0.0000	 99.9992
           	   95	      0	 255998	  0.0000	 99.9992
           	   96	      0	 255998	  0.0000	 99.9992
           	   97	      1	 255999	  0.0004	 99.9996
           	   98	      0	 255999	  0.0000	 99.9996
           	   99	      0	 255999	  0.0000	 99.9996
           	  100	      1	 256000	  0.0004	100.0000

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
Band 5     	    0	      4	      4	  0.0016	  0.0016
           	    1	     12	     16	  0.0047	  0.0063
           	    2	     85	    101	  0.0332	  0.0395
           	    3	   1098	   1199	  0.4289	  0.4684
           	    4	   1738	   2937	  0.6789	  1.1473
           	    5	   1276	   4213	  0.4984	  1.6457
           	    6	    994	   5207	  0.3883	  2.0340
           	    7	   1547	   6754	  0.6043	  2.6383
           	    8	   1225	   7979	  0.4785	  3.1168
           	    9	   1324	   9303	  0.5172	  3.6340
           	   10	   1525	  10828	  0.5957	  4.2297
           	   11	   2587	  13415	  1.0105	  5.2402
           	   12	   1880	  15295	  0.7344	  5.9746
           	   13	   1911	  17206	  0.7465	  6.7211
           	   14	   2183	  19389	  0.8527	  7.5738
           	   15	   3664	  23053	  1.4313	  9.0051
           	   16	   2771	  25824	  1.0824	 10.0875
           	   17	   2931	  28755	  1.1449	 11.2324
           	   18	   3327	  32082	  1.2996	 12.5320
           	   19	   5989	  38071	  2.3395	 14.8715
           	   20	   4539	  42610	  1.7730	 16.6445
           	   21	   4960	  47570	  1.9375	 18.5820
           	   22	   5520	  53090	  2.1563	 20.7383
